PROFILE,ACCOUNT_NUM,REGION,TITLE_ID,RESULT,SCORED,LEVEL,TITLE_TEXT,NOTES
default,309544246384,cn-northwest-1,0.0,INFO,Not Scored,Support,Show report generation info,ARN: arn:aws-cn:iam::309544246384:user/AWS_jianxlin  TIMESTAMP: 2020-07-05T03:51:00+0000
default,309544246384,cn-northwest-1,1.2,PASS,Scored,Level 1,[check12] Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password (Scored),No users found with Password enabled and MFA disabled
default,309544246384,cn-northwest-1,1.13,FAIL,Scored,Level 1,[check113] Ensure MFA is enabled for the root account (Scored),MFA is not ENABLED for root account
default,309544246384,cn-northwest-1,2.3,PASS,Scored,Level 1,[check23] Ensure the S3 bucket CloudTrail logs to is not publicly accessible (Scored),Bucket jnclogs is set correctly
default,309544246384,cn-northwest-1,2.6,FAIL,Scored,Level 1,[check26] Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket (Scored),Bucket access logging is not enabled in CloudTrail S3 bucket jnclogs for S3_Lambda
default,309544246384,cn-northwest-1,2.7,FAIL,Scored,Level 2,[check27] Ensure CloudTrail logs are encrypted at rest using KMS CMKs (Scored),Encryption is not enabled in your CloudTrail trail S3_Lambda (KMS key not found)!
default,309544246384,cn-north-1,2.9,FAIL,Scored,Level 2,[check29] Ensure VPC Flow Logging is Enabled in all VPCs (Scored),VPC vpc-d5d682b1: No VPCFlowLog has been found in Region cn-north-1
default,309544246384,cn-northwest-1,2.9,FAIL,Scored,Level 2,[check29] Ensure VPC Flow Logging is Enabled in all VPCs (Scored),VPC vpc-010e4ba14a1542f24: No VPCFlowLog has been found in Region cn-northwest-1
default,309544246384,cn-northwest-1,2.9,FAIL,Scored,Level 2,[check29] Ensure VPC Flow Logging is Enabled in all VPCs (Scored),VPC vpc-ee67da87: No VPCFlowLog has been found in Region cn-northwest-1
default,309544246384,cn-northwest-1,2.9,FAIL,Scored,Level 2,[check29] Ensure VPC Flow Logging is Enabled in all VPCs (Scored),VPC vpc-011e0c0779abc4792: No VPCFlowLog has been found in Region cn-northwest-1
default,309544246384,cn-northwest-1,7.18,FAIL,Not Scored,Extra,[extra718] Check if S3 buckets have server access logging enabled (Not Scored) (Not part of CIS benchmark),Bucket actwill-upload has server access logging disabled!
